sample,index,pos,tofFirst,peakAmp,energy,rms,snr_dB,peakFreq,centroid,bw,depth,z_tofFirst,z_peakAmp,z_energy,z_rms,z_snr_dB,z_peakFreq,z_centroid,z_bw,anomaly
sample1,0,0,9.418e-07,0.0322483019422216,5.00998130183449e-09,0.00527572075214136,18.5949954275233,999999.999997807,20986136.633104,1799999.99999605,NaN,-0.688577868070509,1.74688772252116,1.61922685648136,1.31196233848411,1.9976548047559,0,-0.794180079545435,0,0
sample1,1,0.001,1.4958e-06,0.0216584194989364,3.79833017913404e-09,0.00459367329361549,15.993191467345,1005555.55555335,21286301.1395391,16666.6666666303,NaN,-0.532492704849944,0,0.674490759476595,0.58968789317569,-0.0429950861790554,0,-0.471560136977903,0,0
sample1,2,0.002,9.918e-07,0.029908996964976,5.52941181437302e-09,0.0055424682700244,18.3812054794055,1005555.55555335,21097495.172809,5555.5555555434,NaN,-0.674490759476595,1.36100023360252,2.02423184998737,1.59444255757734,1.8299748254081,0,-0.674490759476595,0,0
sample1,3,0.003,1.3418e-06,0.0295816101375028,5.25259108447601e-09,0.00540194979432041,18.0382001425959,1005555.55555335,21047416.5586328,16666.6666666303,NaN,-0.575880999319198,1.30699509874941,1.80839205003732,1.44563633767874,1.5609484829689,0,-0.728315776369089,0,0
sample1,4,0.004,9.738e-07,0.0278813168893003,4.74618887094583e-09,0.00513495043302671,17.5002249943117,1005555.55555335,21228060.8553959,5555.5555555434,NaN,-0.679562118570404,1.02651782094413,1.41354534725144,1.16288942151412,1.13900319251877,0,-0.534157401886227,0,0
sample1,5,0.005,5.6938e-06,0.021116459154055,2.93327644766137e-09,0.00403682799543771,16.0480096828487,611111.111109771,22290603.1780012,399999.999999123,NaN,0.650260932695063,-0.089400791523142,0,0,0,0,0.607874169953224,0,0
sample1,6,0.006,3.3858e-06,0.0229484176052167,2.90374763542513e-09,0.00401645755708709,16.5257934530639,611111.111109771,21725039.1005095,399999.999999123,NaN,0,0.212795738385699,-0.0230239004434555,-0.021571881657891,0.37473591919407,0,0,0,0
sample1,7,0.007,7.8658e-06,0.0196077401626375,2.87805161694126e-09,0.00399864672728644,15.258728100671,611111.111109771,22115865.9831965,399999.999999123,NaN,1.26220493001468,-0.338276328806638,-0.0430593345351673,-0.040433189700221,-0.619050243307913,0,0.420064810273003,0,0
sample1,8,0.008,2.62238e-05,0.0159610419561506,2.12801557231839e-09,0.00343835843609654,15.1880421122695,611111.111109771,22882561.9143225,399999.999999123,NaN,6.43442772135609,-0.939829023916243,-0.627869691356895,-0.633767142746012,-0.674490759476595,0,1.24411759454213,0,1
sample1,9,0.009,5.6878e-06,0.0188385299570196,2.08068117114557e-09,0.0033999029162128,15.3520859887569,611111.111109771,22808461.3109257,399999.999999123,NaN,0.648570479663794,-0.465163843510253,-0.664776781673782,-0.674490759476595,-0.545827676559456,0,1.16447349305922,0,0
sample1,10,0.01,1.59638e-05,0.0175695603468264,1.98934405212255e-09,0.00332444151710578,14.7353505736546,611111.111109771,22801092.2445777,399999.999999123,NaN,3.54375303788497,-0.674490759476595,-0.735993216603631,-0.754402852837399,-1.02954631056372,0,1.15655314368079,0,1
sample2,0,0,4.4738e-06,0.0198215009000699,2.82620649789477e-09,0.00396246731349195,15.8038551501972,616666.666665314,22177864.1788966,605555.555554228,NaN,0.0645721011442048,-0.410595882520024,0,0,-0.47407842066891,0,0.970906904527964,-0.622606854901472,0
sample2,1,0.001,1.25398e-05,0.020991549012199,2.64057606355528e-09,0.0038301262407027,17.1470414813433,494444.44444336,22091487.7692148,605555.555554228,NaN,2.64298085277369,0,-0.626856502950036,-0.626032455688341,1.07978649137881,0,0.674490759476595,-0.622606854901472,0
sample2,2,0.002,4.0698e-06,0.0238819954016621,2.62647017538654e-09,0.00381988232467149,15.0325055656423,494444.44444336,21855182.4766235,883333.333331397,NaN,-0.0645721011442048,1.01432186749895,-0.674490759476595,-0.674490759476595,-1.36641407549927,0,-0.136433243305641,0.674490759476595,0
sample2,3,0.003,NaN,0.0156568843483564,1.99660815351261e-09,0.00333050559517473,13.4539227229977,494444.44444336,22506417.5116591,1761111.11110725,NaN,NaN,-1.87205237365242,-2.80147551700207,-2.98946153360259,-3.19259740767553,0,2.09839660570877,4.77331922091128,1
sample2,4,0.004,5.1178e-06,0.0222700615898527,3.00617774674751e-09,0.00408668416713281,17.0020455411585,494444.44444336,21894939.4666348,588888.888887598,NaN,0.270435631524739,0.448658473692534,0.607745966273236,0.587601266059749,0.912047959041062,0,0,-0.700432711764156,0
sample2,5,0.005,1.2938e-06,0.028883456558005,4.2787710639263e-09,0.00487554615967216,18.7127666125282,494444.44444336,21144002.2830377,588888.888887598,NaN,-0.951958996076446,2.76944572615921,4.90517380628649,4.31927126071871,2.89109538192097,0,-2.57697565756109,-0.700432711764156,1
sample2,6,0.006,2.0878e-06,0.0203290477552029,2.90556119274503e-09,0.00401771161562473,16.7237677997903,494444.44444336,21831246.6620756,738888.888887269,NaN,-0.698145885638334,-0.232486412709935,0.26797333467165,0.261330253700239,0.59012239436759,0,-0.218573284818109,0,0
sample2,7,0.007,6.6158e-06,0.0243196366517027,3.26863482964425e-09,0.0042613474848776,15.6516585702257,494444.44444336,21344368.1656174,5555.55555554334,NaN,0.749292104366417,1.16789990708962,1.49403882953418,1.41383686640568,-0.650147012097777,0,-1.88938418747264,-3.4243377019581,0
sample2,8,0.008,2.1038e-06,0.0237812922743289,3.37211531588483e-09,0.00432827609760478,16.7966971991975,494444.44444336,21762414.5121212,738888.888887269,NaN,-0.693031263765525,0.978982902364692,1.84348269071541,1.73043913430579,0.674490759476595,0,-0.45478315531683,0,0
sample2,9,0.009,6.3238e-06,0.0190694970059039,2.52353835926494e-09,0.00374428331612889,15.8005165360521,494444.44444336,22292069.2741788,738888.888887269,NaN,0.655950255187665,-0.674490759476595,-1.0220818133136,-1.03210787688427,-0.477940695957647,0,1.36282217645777,0,0
sample2,10,0.01,2.6838e-06,0.0194270226711758,2.6996393629748e-09,0.00387272468178906,16.2136563173364,494444.44444336,22088764.1853345,1755555.55555171,NaN,-0.507626220876224,-0.549027058852561,-0.427405300572868,-0.424522779820292,0,0,0.665144292802289,4.74737726862372,1
